"sep=,"
"Order #","Suffix","Stage","Purchase Order","Customer #","Customer Name","Order Notes","Customer Notes","Ship To","Ship To Name","Disposition","Warehouse","Warehouse Name","Division","Type","Suspended / Floor Plan","Job #","Promised Date","Requested Ship Date","Shipped Date","Invoice Date","Quantity Ordered","Quantity Shipped","Invoice Amount","Ordered Amount","Shipped Amount","Inside Sales Rep","Outside Sales Rep","Customer Ship To Name","Taken By","Entered Date","Warehouse Transfer Billed","Approval","Origin Code","Origin Copy Type","Origin Order #","Origin Order Suffix","Vendor Return Authorization #","Sales Warehouse","Reference","Inside Sales Rep Name","Outside Sales Rep Name","Taken By Name","Picked Date","Ship Via"
"45435","00","Cancelled","Dunkirk Pricing","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Quote","","","9/19/2014","9/19/2014","","","0","0","0.00","0.00","0.00","sek","I07","ZENNER & RITTER, INC","sek","5/7/2015","No","y","","","0","00","","","","Scott Kohler","Open - Scott Kohler","sek","","cp"
"105826","00","Paid","","1097756","ZENNER & RITTER, INC","!","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Correction","","","12/7/1998","12/7/1998","12/8/1998","12/8/1998","-1","-1","-302.94","-280.50","-280.50","rrr","I18","ZENNER & RITTER, INC","RRR","12/7/1998","No","y","","","0","00","","","","Randy Robb retired 3/31/21","Jason Nobles","rrr  retired 3/31/21","1/22/2001",""
"107142","00","Paid","20 PEARCE","1097756","ZENNER & RITTER, INC","","*","001","20 PEARCE","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","12/28/1998","12/28/1998","12/30/1998","12/30/1998","8","5","299.04","640.06","276.86","rrr","I18","ZENNER & RITTER, INC","RRR","12/28/1998","No","y","","","0","00","","","","Randy Robb retired 3/31/21","Jason Nobles","rrr  retired 3/31/21","1/22/2001",""
"107142","01","Paid","20 PEARCE","1097756","ZENNER & RITTER, INC","","*","001","20 PEARCE","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","12/28/1998","12/28/1998","12/30/1998","12/30/1998","3","2","289.66","363.20","268.20","rrr","I18","ZENNER & RITTER, INC","RRR","12/28/1998","No","y","","","0","00","","","","Randy Robb retired 3/31/21","Jason Nobles","rrr  retired 3/31/21","12/29/1998",""
"107142","02","Paid","20 PEARCE","1097756","ZENNER & RITTER, INC","","*","001","20 PEARCE","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","12/28/1998","12/28/1998","12/30/1998","12/30/1998","1","1","102.60","95.00","95.00","rrr","I18","ZENNER & RITTER, INC","RRR","12/28/1998","No","y","","","0","00","","","","Randy Robb retired 3/31/21","Jason Nobles","rrr  retired 3/31/21","12/29/1998",""
"137582","00","Paid","8964 adrian","1097756","ZENNER & RITTER, INC","","*","001","old armour duells","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","3/31/2000","3/31/2000","3/31/2000","3/31/2000","5","5","49.08","45.44","45.44","bu5","I69","ZENNER & RITTER, INC","mnc","3/31/2000","No","y","","","0","00","","","","Buffalo Generic","Open","mnc","6/26/2000","ot"
"171897","00","Paid","none","1097756","ZENNER & RITTER, INC","","*","001","***No Copy to Customer***","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Return Merchandise","","","9/19/2001","9/19/2001","9/20/2001","9/20/2001","-1","-1","0.00","0.00","0.00","afc","I69","ZENNER & RITTER, INC","afc","9/19/2001","No","y","","","0","00","","","","","Open","","12/30/2002",""
"171903","00","Paid","none","1097756","ZENNER & RITTER, INC","","*","001","***No Copy to Customer***","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Return Merchandise","","","9/19/2001","9/19/2001","9/20/2001","9/20/2001","-1","-1","0.00","0.00","0.00","afc","I69","ZENNER & RITTER, INC","afc","9/19/2001","No","y","","","0","00","","","","","Open","","12/30/2002",""
"171928","00","Paid","none","1097756","ZENNER & RITTER, INC","","*","001","***No Copy to Customer***","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Return Merchandise","","","9/20/2001","9/20/2001","9/20/2001","9/20/2001","-1","-1","0.00","0.00","0.00","afc","I69","ZENNER & RITTER, INC","afc","9/20/2001","No","y","","","0","00","","","","","Open","","12/30/2002",""
"173828","00","Paid","none","1097756","ZENNER & RITTER, INC","","*","001","***No Copy to Customer***","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Return Merchandise","","","10/12/2001","10/12/2001","10/15/2001","10/15/2001","-1","-1","0.00","0.00","0.00","afc","I69","ZENNER & RITTER, INC","afc","10/12/2001","No","y","","","0","00","","","","","Open","","8/22/2003",""
"183431","00","Paid","20557 DANTE COURT","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","3/4/2002","3/4/2002","3/5/2002","3/5/2002","2","2","2,846.80","2,635.92","2,635.92","bu3","I69","ZENNER & RITTER, INC","RLB","3/4/2002","No","y","","","0","00","","","","Buffalo Generic","Open","","1/10/2004","OT"
"278016","00","Paid","28262","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","4/3/2006","4/3/2006","6/2/2006","6/2/2006","8","1","721.04","5,319.50","663.03","fae","I07","ZENNER & RITTER, INC","FAE","4/3/2006","No","y","","","0","00","","","","Frank Ekes","Open - Scott Kohler","","5/18/2006","OT"
"278016","01","Paid","28262","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","4/3/2006","4/3/2006","6/13/2006","6/13/2006","7","2","1,291.23","4,656.47","1,187.34","fae","I07","ZENNER & RITTER, INC","FAE","4/3/2006","No","y","","","0","00","","","","Frank Ekes","Open - Scott Kohler","","6/5/2006","OT"
"278016","02","Paid","28262","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","4/3/2006","4/3/2006","6/8/2006","6/8/2006","5","1","570.18","3,469.13","524.31","fae","I07","ZENNER & RITTER, INC","FAE","4/3/2006","No","y","","","0","00","","","","Frank Ekes","Open - Scott Kohler","","6/7/2006","OT"
"278016","03","Paid","28262","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","4/3/2006","4/3/2006","7/12/2006","7/12/2006","4","1","625.55","2,944.82","575.22","fae","I07","ZENNER & RITTER, INC","FAE","4/3/2006","No","y","","","0","00","","","","Frank Ekes","Open - Scott Kohler","","6/7/2006","OT"
"278016","04","Paid","28262","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","4/3/2006","4/3/2006","6/14/2007","6/14/2007","2","2","1,601.04","1,472.22","1,472.22","DJWI","I07","ZENNER & RITTER, INC","DJWI","4/3/2006","No","y","","","0","00","","","","Daryl Widebeck","Open - Scott Kohler","djwi","7/31/2006","OT"
"279122","00","Paid","28105","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","4/21/2006","4/21/2006","5/24/2006","5/24/2006","28","1","506.94","14,869.26","466.15","sek","I07","ZENNER & RITTER, INC","sek","4/21/2006","No","y","","","0","00","","","","Scott Kohler","Open - Scott Kohler","sek","4/27/2006",""
"279122","01","Paid","28105","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","4/21/2006","4/21/2006","5/12/2006","5/12/2006","27","1","561.75","14,403.11","516.55","sek","I07","ZENNER & RITTER, INC","sek","4/21/2006","No","y","","","0","00","","","","Scott Kohler","Open - Scott Kohler","sek","5/12/2006",""
"279122","02","Paid","28105","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","4/21/2006","4/21/2006","5/15/2006","5/15/2006","26","1","506.94","13,886.56","466.15","sek","I07","ZENNER & RITTER, INC","sek","4/21/2006","No","y","","","0","00","","","","Scott Kohler","Open - Scott Kohler","sek","5/15/2006",""
"279122","03","Paid","28105","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","4/21/2006","4/21/2006","5/17/2006","5/17/2006","25","1","506.94","13,420.41","466.15","sek","I07","ZENNER & RITTER, INC","sek","4/21/2006","No","y","","","0","00","","","","Scott Kohler","Open - Scott Kohler","sek","5/17/2006",""
"279122","04","Paid","28105","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","4/21/2006","4/21/2006","6/1/2006","6/1/2006","24","1","561.75","12,954.26","516.55","sek","I07","ZENNER & RITTER, INC","sek","4/21/2006","No","y","","","0","00","","","","Scott Kohler","Open - Scott Kohler","sek","5/18/2006",""
"279122","05","Paid","28105","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","4/21/2006","4/21/2006","5/22/2006","5/22/2006","23","1","604.37","12,437.71","555.74","sek","I07","ZENNER & RITTER, INC","sek","4/21/2006","No","y","","","0","00","","","","Scott Kohler","Open - Scott Kohler","sek","5/18/2006",""
"279122","06","Paid","28105","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","4/21/2006","4/21/2006","5/26/2006","5/26/2006","22","1","506.94","11,881.97","466.15","sek","I07","ZENNER & RITTER, INC","sek","4/21/2006","No","y","","","0","00","","","","Scott Kohler","Open - Scott Kohler","sek","5/18/2006",""
"279122","07","Paid","28105","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","4/21/2006","4/21/2006","5/30/2006","5/30/2006","21","1","604.37","11,415.82","555.74","sek","I07","ZENNER & RITTER, INC","sek","4/21/2006","No","y","","","0","00","","","","Scott Kohler","Open - Scott Kohler","sek","5/18/2006",""
"279122","08","Paid","28105","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","4/21/2006","4/21/2006","5/30/2006","5/30/2006","20","2","1,111.31","10,860.08","1,021.89","sek","I07","ZENNER & RITTER, INC","sek","4/21/2006","No","y","","","0","00","","","","Scott Kohler","Open - Scott Kohler","sek","5/30/2006",""
"279122","09","Paid","28105","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","4/21/2006","4/21/2006","6/6/2006","6/6/2006","18","1","506.94","9,838.19","466.15","sek","I07","ZENNER & RITTER, INC","sek","4/21/2006","No","y","","","0","00","","","","Scott Kohler","Open - Scott Kohler","sek","6/1/2006",""
"279122","10","Paid","28105","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","4/21/2006","4/21/2006","6/2/2006","6/2/2006","17","1","506.94","9,372.04","466.15","sek","I07","ZENNER & RITTER, INC","sek","4/21/2006","No","y","","","0","00","","","","Scott Kohler","Open - Scott Kohler","sek","6/2/2006",""
"279122","11","Paid","28105","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","4/21/2006","4/21/2006","6/6/2006","6/6/2006","16","2","1,068.69","8,905.89","982.70","sek","I07","ZENNER & RITTER, INC","sek","4/21/2006","No","y","","","0","00","","","","Scott Kohler","Open - Scott Kohler","sek","6/5/2006",""
"279122","12","Paid","28105","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","4/21/2006","4/21/2006","6/9/2006","6/9/2006","14","2","1,123.49","7,923.19","1,033.10","sek","I07","ZENNER & RITTER, INC","sek","4/21/2006","No","y","","","0","00","","","","Scott Kohler","Open - Scott Kohler","sek","6/5/2006",""
"279122","13","Paid","28105","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","6/19/2006","6/19/2006","6/19/2006","6/19/2006","12","2","1,392.94","6,890.09","1,280.87","sek","I07","ZENNER & RITTER, INC","sek","4/21/2006","No","y","","","0","00","","","","Scott Kohler","Open - Scott Kohler","sek","6/8/2006",""
"279122","14","Paid","28105","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","6/23/2006","6/23/2006","6/22/2006","6/22/2006","10","1","561.75","5,609.22","516.55","sek","I07","ZENNER & RITTER, INC","sek","4/21/2006","No","y","","","0","00","","","","Scott Kohler","Open - Scott Kohler","sek","6/9/2006","ot"
"279122","15","Paid","28105 parkhurst","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","4/21/2006","4/21/2006","6/14/2006","6/14/2006","9","1","561.75","5,092.67","516.55","sek","I07","ZENNER & RITTER, INC","sek","4/21/2006","No","y","","","0","00","","","","Scott Kohler","Open - Scott Kohler","sek","6/14/2006",""
"279122","16","Paid","28105","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","4/21/2006","4/21/2006","6/20/2006","6/20/2006","8","1","561.75","4,576.12","516.55","sek","I07","ZENNER & RITTER, INC","sek","4/21/2006","No","y","","","0","00","","","","Scott Kohler","Open - Scott Kohler","sek","6/15/2006",""
"279122","17","Paid","28105 columbia 28640","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","4/21/2006","4/21/2006","6/16/2006","6/16/2006","7","1","561.75","4,059.57","516.55","sek","I07","ZENNER & RITTER, INC","sek","4/21/2006","No","y","","","0","00","","","","Scott Kohler","Open - Scott Kohler","sek","6/16/2006",""
"279122","18","Paid","28105","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","4/21/2006","4/21/2006","7/6/2006","7/6/2006","6","1","604.37","3,543.02","555.74","sek","I07","ZENNER & RITTER, INC","sek","4/21/2006","No","y","","","0","00","","","","Scott Kohler","Open - Scott Kohler","sek","7/5/2006",""
"279122","19","Paid","28105","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","4/21/2006","4/21/2006","7/6/2006","7/6/2006","5","1","831.20","2,987.28","764.32","sek","I07","ZENNER & RITTER, INC","sek","4/21/2006","No","y","","","0","00","","","","Scott Kohler","Open - Scott Kohler","sek","7/5/2006",""
"279122","20","Paid","28105","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","4/21/2006","4/21/2006","4/26/2007","4/26/2007","4","1","604.37","2,222.96","555.74","sek","I07","ZENNER & RITTER, INC","sek","4/21/2006","No","y","","","0","00","","","","Scott Kohler","Open - Scott Kohler","sek","7/6/2006",""
"279122","21","Paid","28105","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","4/21/2006","4/21/2006","4/27/2007","4/27/2007","3","2","1,208.74","1,667.22","1,111.48","sek","I07","ZENNER & RITTER, INC","sek","4/21/2006","No","y","","","0","00","","","","Scott Kohler","Open - Scott Kohler","sek","4/26/2007",""
"279122","22","Paid","28105","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","4/21/2006","4/21/2006","5/1/2007","5/1/2007","1","1","604.37","555.74","555.74","sek","I07","ZENNER & RITTER, INC","sek","4/21/2006","No","y","","","0","00","","","","Scott Kohler","Open - Scott Kohler","sek","5/1/2007",""
"285254","00","Paid","29047 / PHAROHS CT.","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","8/2/2006","8/2/2006","4/12/2007","4/12/2007","2","2","1,586.30","1,458.66","1,458.66","DCS","I07","ZENNER & RITTER, INC","DCS","8/2/2006","No","y","","","0","00","","","","Doug Specht - inactive -> GUI","Open - Scott Kohler","dcs","8/2/2006","OT"
"288603","00","Paid","31763  GREENHILL","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","3/15/2007","3/15/2007","3/14/2007","3/14/2007","1","1","286.01","263.00","263.00","DCS","I07","ZENNER & RITTER, INC","DJWI","9/25/2006","No","y","","","0","00","","","Future Order","Doug Specht - inactive -> GUI","Open - Scott Kohler","djwi","3/13/2007",""
"1000000","00","Paid","27559 - STOCK","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","6/4/1997","6/4/1997","6/4/1997","6/4/1997","3","3","273.76","253.48","253.48","bu4","I18","ZENNER & RITTER, INC","REW","6/4/1997","No","y","","","0","00","","","","Buffalo Generic","Jason Nobles","rew","4/25/2000",""
"1000240","00","Paid","31932 / AUDUBON","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","3/1/2007","3/1/2007","4/4/2007","4/4/2007","1","1","1,203.86","1,107.00","1,107.00","DCS","I07","ZENNER & RITTER, INC","DCS","10/21/2006","No","y","","","0","00","","","Future Order","Doug Specht - inactive -> GUI","Open - Scott Kohler","dcs","2/14/2007","OT"
"1000477","00","Paid","31944 / GOULDING","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","11/1/2006","11/1/2006","11/1/2006","11/1/2006","1","1","436.09","401.00","401.00","DCS","I07","ZENNER & RITTER, INC","DCS","10/24/2006","No","y","","","0","00","","","","Doug Specht - inactive -> GUI","Open - Scott Kohler","dcs","10/24/2006","OT"
"1000490","00","Paid","31947 / S. ELLICOTT","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","11/6/2006","11/6/2006","11/6/2006","11/6/2006","2","2","1,001.92","921.31","921.31","DCS","I07","ZENNER & RITTER, INC","DCS","10/24/2006","No","y","","","0","00","","","","Doug Specht - inactive -> GUI","Open - Scott Kohler","dcs","10/24/2006","OT"
"1000702","00","Paid","32016  TOM JEFFERSON","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","11/2/2006","11/2/2006","11/2/2006","11/2/2006","4","4","2,007.63","1,846.10","1,846.10","xrrr","I07","ZENNER & RITTER, INC","DJWI","10/26/2006","No","y","","","0","00","","","","Randy Robb  retired 3/31/21","Open - Scott Kohler","djwi","10/31/2006","OT"
"1000704","00","Paid","32016  TOM JEFFERSON","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","5/1/2007","5/1/2007","4/4/2007","4/4/2007","1","1","804.75","740.00","740.00","xrrr","I07","ZENNER & RITTER, INC","DJWI","10/26/2006","No","y","","","0","00","","","","Randy Robb  retired 3/31/21","Open - Scott Kohler","djwi","4/4/2007",""
"1000716","00","Paid","32015 xavier","1097756","ZENNER & RITTER, INC","","*","HEAP","HEAP JOBS","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","HEAP","11/8/2006","11/8/2006","11/8/2006","11/8/2006","2","1","69.71","909.86","69.71","rrr","I07","HEAP JOBS","rrr","10/26/2006","No","y","","","0","00","","","","Randy Robb retired 3/31/21","Open - Scott Kohler","rrr  retired 3/31/21","11/6/2006","ot"
"1000716","01","Paid","32015 xavier","1097756","ZENNER & RITTER, INC","","*","HEAP","HEAP JOBS","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","HEAP","11/8/2006","11/8/2006","11/8/2006","11/8/2006","1","1","840.15","840.15","840.15","rrr","I07","HEAP JOBS","rrr","10/26/2006","No","y","","","0","00","","","","Randy Robb retired 3/31/21","Open - Scott Kohler","rrr  retired 3/31/21","11/7/2006","ot"
"1000838","00","Paid","32025 norfolk","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","11/1/2006","11/1/2006","11/1/2006","11/1/2006","1","1","436.09","401.00","401.00","rrr","I07","ZENNER & RITTER, INC","rrr","10/27/2006","No","y","","","0","00","","","","Randy Robb retired 3/31/21","Open - Scott Kohler","rrr  retired 3/31/21","10/27/2006","ot"
"1000839","00","Paid","32022 east depew","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","11/2/2006","11/2/2006","11/2/2006","11/2/2006","1","1","436.09","401.00","401.00","rrr","I07","ZENNER & RITTER, INC","rrr","10/27/2006","No","y","","","0","00","","","","Randy Robb retired 3/31/21","Open - Scott Kohler","rrr  retired 3/31/21","10/31/2006","ot"
"1000856","00","Paid","32025","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","11/1/2006","11/1/2006","11/1/2006","11/1/2006","1","1","40.54","37.28","37.28","rrr","I07","ZENNER & RITTER, INC","rrr","10/27/2006","No","y","","","0","00","","","","Randy Robb retired 3/31/21","Open - Scott Kohler","rrr  retired 3/31/21","10/27/2006","ot"
"1000962","00","Paid","32030","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","10/30/2006","10/30/2006","11/8/2006","11/8/2006","1","1","114.88","98.00","98.00","rrr","I07","ZENNER & RITTER, INC","rrr","10/30/2006","No","y","","","0","00","","","","Randy Robb retired 3/31/21","Open - Scott Kohler","rrr  retired 3/31/21","11/7/2006",""
"1000969","00","Paid","32034-HOPKINS","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","11/3/2006","11/3/2006","11/3/2006","11/3/2006","1","1","631.84","581.00","581.00","DAV","I07","ZENNER & RITTER, INC","DAV","10/30/2006","No","y","","","0","00","","","","Derek VanDriel","Open - Scott Kohler","","11/1/2006","OT"
"1000970","00","Paid","32032-ESTHER DR","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","11/21/2006","11/21/2006","11/21/2006","11/21/2006","8","8","3,585.92","3,297.39","3,297.39","DAV","I07","ZENNER & RITTER, INC","DAV","10/30/2006","No","y","","","0","00","","","","Derek VanDriel","Open - Scott Kohler","","10/30/2006","OT"
"1001046","00","Paid","32037  ANGLEROAD","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","11/1/2006","11/1/2006","11/1/2006","11/1/2006","1","1","1,088.59","1,001.00","1,001.00","DAV","I07","ZENNER & RITTER, INC","DJWI","10/30/2006","No","y","","","0","00","","","","Derek VanDriel","Open - Scott Kohler","djwi","10/31/2006","OT"
"1001048","00","Paid","32038  MIDRED","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","11/6/2006","11/6/2006","11/6/2006","11/6/2006","1","1","965.70","888.00","888.00","DAV","I07","ZENNER & RITTER, INC","DJWI","10/30/2006","No","y","","","0","00","","","","Derek VanDriel","Open - Scott Kohler","djwi","11/2/2006","OT"
"1001081","00","Paid","32043  STILLWELL","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","11/8/2006","11/8/2006","11/8/2006","11/8/2006","2","2","476.63","438.28","438.28","xrrr","I07","ZENNER & RITTER, INC","DJWI","10/31/2006","No","y","","","0","00","","","","Randy Robb  retired 3/31/21","Open - Scott Kohler","djwi","10/31/2006","OT"
"1001082","00","Paid","32042  NICKOLSON","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","11/2/2006","11/2/2006","11/2/2006","11/2/2006","2","2","1,622.55","1,492.00","1,492.00","xrrr","I07","ZENNER & RITTER, INC","DJWI","10/31/2006","No","y","","","0","00","","","","Randy Robb  retired 3/31/21","Open - Scott Kohler","djwi","10/31/2006","OT"
"1001115","00","Paid","32182  8375 vernon cir","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","Will Call","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","10/31/2006","10/31/2006","11/6/2006","11/6/2006","2","2","110.70","101.79","101.79","rrr","I07","ZENNER & RITTER, INC","rrr","10/31/2006","No","y","","","0","00","","","","Randy Robb retired 3/31/21","Open - Scott Kohler","rrr  retired 3/31/21","11/3/2006",""
"1001159","00","Paid","32047 andover","1097756","ZENNER & RITTER, INC","","*","HEAP","HEAP JOBS","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","HEAP","11/1/2006","11/1/2006","11/1/2006","11/1/2006","2","2","477.28","477.28","477.28","rrr","I07","HEAP JOBS","rrr","10/31/2006","No","y","","","0","00","","","","Randy Robb retired 3/31/21","Open - Scott Kohler","rrr  retired 3/31/21","10/31/2006","ot"
"1001193","00","Paid","32051","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","11/1/2006","11/1/2006","11/1/2006","11/1/2006","5","5","35.15","32.32","32.32","CJSC","I07","ZENNER & RITTER, INC","CJSC","11/1/2006","No","y","","","0","00","","","","Clifford Schulz  inact","Open - Scott Kohler","cjsc","11/1/2006","OT"
"1001219","00","Paid","32052 ashland","1097756","ZENNER & RITTER, INC","","*","HEAP","HEAP JOBS","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","HEAP","11/1/2006","11/1/2006","11/1/2006","11/1/2006","1","1","440.00","440.00","440.00","rrr","I07","HEAP JOBS","rrr","11/1/2006","No","y","","","0","00","","","","Randy Robb retired 3/31/21","Open - Scott Kohler","rrr  retired 3/31/21","11/1/2006","ot"
